Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
10,10,2015,41000,0,1,0,19.67,1582,126.2,5.0,12.5
9,2,2011,46000,1,1,0,18.2,1199,88.7,5.0,4.5
17,2,2012,87000,0,1,0,20.77,1248,88.76,7.0,6.0
1,3,2013,40670,0,0,2,15.2,1968,140.8,5.0,17.74
21,6,2013,86999,0,1,0,23.08,1461,63.1,5.0,3.5
26,9,2016,36000,0,0,0,11.36,2755,171.5,8.0,17.5
27,10,2013,64430,0,1,0,20.54,1598,103.6,5.0,5.2
25,2,2012,65932,0,1,2,22.3,1248,74,5.0,1.95
17,7,2018,25692,1,1,0,21.56,1462,103.25,5.0,9.95
9,8,2012,60000,1,0,0,16.8,1497,116.3,5.0,4.49
17,6,2015,64424,0,1,0,25.2,1248,74,5.0,5.6
15,4,2014,72000,0,0,0,12.7,2179,187.7,5.0,27.0
15,10,2012,85000,0,0,2,0.0,2179,115,5.0,17.5
20,4,2014,110000,0,1,0,13.5,2477,175.56,7.0,15.0
9,7,2016,58950,0,1,0,25.8,1498,98.6,5.0,5.4
17,6,2017,25000,0,1,0,28.4,1248,74,5.0,5.99
23,7,2014,77469,0,1,0,20.45,1461,83.8,5.0,6.34
18,1,2014,78500,0,0,0,14.84,2143,167.62,5.0,28.0
2,7,2014,32982,0,0,0,22.69,1995,190,5.0,18.55
17,1,2015,55392,0,1,2,23.65,1248,88.5,5.0,8.25
1,9,2015,55985,1,0,0,13.53,1984,177.01,5.0,23.5
10,8,2010,45807,1,1,0,18.5,1197,80,5.0,1.87
27,8,2010,33000,1,0,0,14.4,1598,103.6,5.0,2.85
9,9,2012,51920,1,1,0,16.8,1497,116.3,5.0,4.25
21,5,2012,54000,0,1,0,23.08,1461,63.1,5.0,4.25
17,5,2013,54000,1,1,2,20.92,998,67.1,5.0,2.75
9,7,2018,37430,1,1,0,17.5,1199,88.7,5.0,9.9
26,9,2007,262000,0,1,1,12.8,2494,102,7.0,4.0
23,1,2013,62000,0,1,0,19.01,1461,108.45,5.0,7.75
26,4,2012,87615,1,1,0,14.53,1798,138.1,5.0,6.75
16,1,2013,72000,0,0,2,11.18,2696,184,7.0,12.5
1,8,2010,35000,0,0,0,12.4,2698,179.5,5.0,11.5
27,3,2014,55431,1,1,2,16.09,1598,103.5,5.0,6.98
17,6,2009,83816,1,1,2,14.0,1061,64,5.0,1.85
17,7,2018,50075,0,1,0,24.3,1248,88.5,5.0,8.63
16,4,2017,52000,1,1,0,18.15,1198,82,5.0,4.85
18,10,2013,85000,0,0,0,11.74,2987,254.8,5.0,28.0
27,2,2013,62000,0,1,0,22.07,1199,73.9,5.0,5.0
17,4,2008,90000,1,1,2,19.7,796,46.3,5.0,1.25
25,7,2014,19698,1,1,0,25.4,624,37.5,4.0,1.53
16,3,2017,22033,0,1,0,25.32,1198,77,6.0,5.58
10,7,2014,35487,1,1,0,18.5,1197,82.9,5.0,4.74
10,1,2014,46374,1,0,0,14.62,1999,149.92,5.0,8.85
26,9,2016,52001,1,0,0,14.28,1798,138.03,5.0,10.11
10,0,2008,58005,0,1,2,14.9,1991,112.2,5.0,4.25
26,1,2012,70704,1,1,0,11.25,2694,163.7,7.0,10.95
10,6,2014,75000,0,1,0,24.4,1120,71,5.0,3.85
16,6,2012,75800,0,1,2,16.55,2498,105,6.0,5.5
1,7,2015,13648,0,0,0,17.11,1968,174.33,5.0,21.43
17,4,2014,52000,0,1,0,22.9,1248,74,5.0,4.25
17,8,2014,53000,0,1,0,17.8,1248,75,5.0,3.3
17,4,2013,65650,0,1,0,28.4,1248,74,5.0,3.85
10,2,2015,54000,1,1,3,18.9,1197,82,5.0,3.6
27,8,2015,39000,1,1,0,15.04,1598,103.2,5.0,3.99
23,7,2017,16542,1,1,0,25.17,799,53.3,5.0,3.3
10,8,2010,32000,1,1,0,20.36,1197,78.9,5.0,2.07
